date,api,art,total_count,failures,p95_rt
2025-10-24,API_004,Entitlement,707,0,536.1
2025-10-25,API_004,Entitlement,1654,1,582.9
2025-10-26,API_004,Entitlement,1127,1,663.9
2025-10-27,API_004,Entitlement,1086,1,651.2
2025-10-28,API_004,Entitlement,1635,1,707.3
2025-10-29,API_004,Entitlement,1009,1,540.9
2025-10-30,API_004,Entitlement,1321,1,534.4
2025-10-31,API_004,Entitlement,1686,1,528.5
2025-11-01,API_004,Entitlement,660,0,639.4
2025-11-02,API_004,Entitlement,1300,1,520.2
2025-11-03,API_004,Entitlement,1915,1,598.5
2025-11-04,API_004,Entitlement,1658,1,542.4
2025-11-05,API_004,Entitlement,1187,1,666.3
2025-11-06,API_004,Entitlement,959,0,736.4
2025-11-07,API_004,Entitlement,1545,1,608.8
2025-11-08,API_004,Entitlement,1249,1,619.0
2025-11-09,API_004,Entitlement,1062,1,603.6
2025-11-10,API_004,Entitlement,937,0,591.5
2025-11-11,API_004,Entitlement,1800,1,652.3
2025-11-12,API_004,Entitlement,1297,1,681.9
2025-11-13,API_004,Entitlement,952,0,670.3
2025-11-14,API_004,Entitlement,1519,1,542.2
2025-11-15,API_004,Entitlement,1046,1,658.6
2025-10-16,API_005,Trade,1715,1,535.7
2025-10-17,API_005,Trade,1743,1,628.9
2025-10-18,API_005,Trade,657,0,592.6
2025-10-19,API_005,Trade,680,0,644.4
2025-10-20,API_005,Trade,1106,1,549.2
2025-10-21,API_005,Trade,1684,1,509.1
2025-10-22,API_005,Trade,1779,1,460.9
2025-10-23,API_005,Trade,1065,1,583.9
2025-10-24,API_005,Trade,1069,1,638.1
2025-10-25,API_005,Trade,1461,1,535.2
2025-10-26,API_005,Trade,654,0,538.5
2025-10-27,API_005,Trade,1627,1,529.0
2025-10-28,API_005,Trade,1916,1,542.5
2025-10-29,API_005,Trade,1258,1,682.9
2025-10-30,API_005,Trade,1037,1,618.3
2025-10-31,API_005,Trade,1024,1,615.4
2025-11-01,API_005,Trade,1327,1,630.9
2025-11-02,API_005,Trade,1184,1,831.2
2025-11-03,API_005,Trade,519,0,679.9
2025-11-04,API_005,Trade,899,0,659.3
2025-11-05,API_005,Trade,1153,1,581.1
2025-11-06,API_005,Trade,1615,1,645.5
2025-11-07,API_005,Trade,1877,1,609.9
2025-11-08,API_005,Trade,1353,1,548.6
2025-11-09,API_005,Trade,550,0,738.9
2025-11-10,API_005,Trade,1648,1,488.0
2025-11-11,API_005,Trade,649,0,575.1
2025-11-12,API_005,Trade,1181,1,604.8
2025-11-13,API_005,Trade,1337,1,621.3
2025-11-14,API_005,Trade,1112,1,487.2
2025-11-15,API_005,Trade,1492,1,567.5
2025-10-16,API_006,Information Management,504,0,646.6
2025-10-17,API_006,Information Management,1626,1,743.3
2025-10-18,API_006,Information Management,1322,1,710.6
2025-10-19,API_006,Information Management,1435,1,478.5
2025-10-20,API_006,Information Management,1156,1,611.2
2025-10-21,API_006,Information Management,619,0,573.3
2025-10-22,API_006,Information Management,1869,1,499.9
2025-10-23,API_006,Information Management,1240,1,706.9
2025-10-24,API_006,Information Management,1581,1,559.4
2025-10-25,API_006,Information Management,1133,1,571.5
2025-10-26,API_006,Information Management,1641,1,560.8
2025-10-27,API_006,Information Management,1059,1,616.3
2025-10-28,API_006,Information Management,1203,1,734.7
2025-10-29,API_006,Information Management,1970,1,699.3
2025-10-30,API_006,Information Management,1599,1,572.2
2025-10-31,API_006,Information Management,653,0,676.0
2025-11-01,API_006,Information Management,1196,1,557.5
2025-11-02,API_006,Information Management,1808,1,585.8
2025-11-03,API_006,Information Management,717,0,712.3
2025-11-04,API_006,Information Management,973,0,405.5
2025-11-05,API_006,Information Management,1812,1,538.5
2025-11-06,API_006,Information Management,1777,1,480.3
2025-11-07,API_006,Information Management,1021,1,522.0
2025-11-08,API_006,Information Management,1623,1,592.3
2025-11-09,API_006,Information Management,1261,1,572.1
2025-11-10,API_006,Information Management,941,0,791.2
2025-11-11,API_006,Information Management,1015,1,605.0
2025-11-12,API_006,Information Management,1539,1,611.9
2025-11-13,API_006,Information Management,996,0,564.0
2025-11-14,API_006,Information Management,1395,1,670.3
2025-11-15,API_006,Information Management,1189,1,631.9
2025-10-16,API_007,Liquidity,879,0,613.6
2025-10-17,API_007,Liquidity,1950,1,583.7
2025-10-18,API_007,Liquidity,1791,1,626.4
2025-10-19,API_007,Liquidity,1566,1,593.5
2025-10-20,API_007,Liquidity,784,0,570.8
2025-10-21,API_007,Liquidity,1275,1,612.5
2025-10-22,API_007,Liquidity,1104,1,564.6
2025-10-23,API_007,Liquidity,1719,1,651.0
2025-10-24,API_007,Liquidity,1325,1,657.1
2025-10-25,API_007,Liquidity,912,0,687.2
2025-10-26,API_007,Liquidity,1899,1,648.8
2025-10-27,API_007,Liquidity,1260,1,637.8
2025-10-28,API_007,Liquidity,1175,1,633.1
2025-10-29,API_007,Liquidity,691,0,557.4
2025-10-30,API_007,Liquidity,1238,1,598.7
2025-10-31,API_007,Liquidity,1477,1,607.0
2025-11-01,API_007,Liquidity,1508,1,559.8
2025-11-02,API_007,Liquidity,1713,1,669.7
2025-11-03,API_007,Liquidity,536,0,645.9
2025-11-04,API_007,Liquidity,778,0,533.3
2025-11-05,API_007,Liquidity,716,0,562.4
2025-11-06,API_007,Liquidity,561,0,519.5
2025-11-07,API_007,Liquidity,1095,1,568.6
2025-11-08,API_007,Liquidity,1198,1,656.9
2025-11-09,API_007,Liquidity,1542,1,619.4
2025-11-10,API_007,Liquidity,1907,1,592.2
2025-11-11,API_007,Liquidity,1350,1,548.8
2025-11-12,API_007,Liquidity,1592,1,599.1
2025-11-13,API_007,Liquidity,1622,1,667.4
2025-11-14,API_007,Liquidity,1992,1,728.6
2025-11-15,API_007,Liquidity,1674,1,579.4
2025-10-16,API_008,Connect API,1565,1,615.0
2025-10-17,API_008,Connect API,1709,1,604.5
2025-10-18,API_008,Connect API,1656,1,559.4
2025-10-19,API_008,Connect API,1686,1,581.5
2025-10-20,API_008,Connect API,1157,1,648.2
2025-10-21,API_008,Connect API,1250,1,624.8
2025-10-22,API_008,Connect API,991,0,566.2
2025-10-23,API_008,Connect API,1412,1,574.0
2025-10-24,API_008,Connect API,1445,1,612.2
2025-10-25,API_008,Connect API,1294,1,571.7
2025-10-26,API_008,Connect API,1688,1,613.9
2025-10-27,API_008,Connect API,1945,1,669.3
2025-10-28,API_008,Connect API,1010,1,571.4
2025-10-29,API_008,Connect API,1850,1,556.9
2025-10-30,API_008,Connect API,944,0,587.2
2025-10-31,API_008,Connect API,1375,1,477.8
2025-11-01,API_008,Connect API,538,0,694.2
2025-11-02,API_008,Connect API,1649,1,581.9
2025-11-03,API_008,Connect API,1743,1,599.7
2025-11-04,API_008,Connect API,1581,1,651.1
2025-11-05,API_008,Connect API,1394,1,646.1
2025-11-06,API_008,Connect API,1884,1,650.4
2025-11-07,API_008,Connect API,847,0,668.0
2025-11-08,API_008,Connect API,689,0,567.0
2025-11-09,API_008,Connect API,1932,1,452.4
2025-11-10,API_008,Connect API,1323,1,446.1
2025-11-11,API_008,Connect API,557,0,668.6
2025-11-12,API_008,Connect API,1184,1,604.2
2025-11-13,API_008,Connect API,702,0,659.0
2025-11-14,API_008,Connect API,1263,1,605.9
2025-11-15,API_008,Connect API,1964,1,553.6
2025-10-16,API_009,Payment Initiation,1925,1,571.7
2025-10-17,API_009,Payment Initiation,1666,1,566.6
2025-10-18,API_009,Payment Initiation,1938,1,686.2
2025-10-19,API_009,Payment Initiation,1470,1,557.9
2025-10-20,API_009,Payment Initiation,1535,1,547.5
2025-10-21,API_009,Payment Initiation,872,0,585.9
2025-10-22,API_009,Payment Initiation,1531,1,627.8
2025-10-23,API_009,Payment Initiation,1197,1,537.5
2025-10-24,API_009,Payment Initiation,1839,1,554.5
2025-10-25,API_009,Payment Initiation,540,0,609.0
2025-10-26,API_009,Payment Initiation,1239,1,485.2
2025-10-27,API_009,Payment Initiation,960,0,621.7
2025-10-28,API_009,Payment Initiation,1231,1,561.2
2025-10-29,API_009,Payment Initiation,1776,1,575.8
2025-10-30,API_009,Payment Initiation,889,0,520.8
2025-10-31,API_009,Payment Initiation,1323,1,709.9
2025-11-01,API_009,Payment Initiation,1297,1,595.6
2025-11-02,API_009,Payment Initiation,1588,1,583.1
2025-11-03,API_009,Payment Initiation,645,0,497.2
2025-11-04,API_009,Payment Initiation,1326,1,681.2
2025-11-05,API_009,Payment Initiation,1294,1,558.4
2025-11-06,API_009,Payment Initiation,604,0,606.6
2025-11-07,API_009,Payment Initiation,1622,1,613.1
2025-11-08,API_009,Payment Initiation,1208,1,570.9
2025-11-09,API_009,Payment Initiation,1270,1,691.0
2025-11-10,API_009,Payment Initiation,1176,1,618.7
2025-11-11,API_009,Payment Initiation,1213,1,573.0
2025-11-12,API_009,Payment Initiation,1601,1,637.4
2025-11-13,API_009,Payment Initiation,956,0,517.9
2025-11-14,API_009,Payment Initiation,1380,1,632.1
2025-11-15,API_009,Payment Initiation,987,0,508.0
2025-10-16,API_010,Payment Management,1595,1,676.7
2025-10-17,API_010,Payment Management,653,0,391.3
2025-10-18,API_010,Payment Management,1270,1,583.9
2025-10-19,API_010,Payment Management,1829,1,610.2
2025-10-20,API_010,Payment Management,888,0,669.2
2025-10-21,API_010,Payment Management,1489,1,585.1
2025-10-22,API_010,Payment Management,1123,1,658.3
2025-10-23,API_010,Payment Management,1266,1,689.3
2025-10-24,API_010,Payment Management,934,0,652.7
2025-10-25,API_010,Payment Management,602,0,663.5
2025-10-26,API_010,Payment Management,1297,1,494.5
2025-10-27,API_010,Payment Management,1858,1,653.2
2025-10-28,API_010,Payment Management,1831,1,591.8
2025-10-29,API_010,Payment Management,748,0,690.1
2025-10-30,API_010,Payment Management,1519,1,604.4
2025-10-31,API_010,Payment Management,1041,1,658.9
2025-11-01,API_010,Payment Management,632,0,619.8
2025-11-02,API_010,Payment Management,1296,1,497.8
2025-11-03,API_010,Payment Management,1483,1,596.7
2025-11-04,API_010,Payment Management,568,0,599.6
2025-11-05,API_010,Payment Management,704,0,624.2
2025-11-06,API_010,Payment Management,625,0,521.7
2025-11-07,API_010,Payment Management,610,0,640.2
2025-11-08,API_010,Payment Management,1260,1,740.5
2025-11-09,API_010,Payment Management,1897,1,533.9
2025-11-10,API_010,Payment Management,1399,1,569.2
2025-11-11,API_010,Payment Management,1718,1,536.4
2025-11-12,API_010,Payment Management,1718,1,628.1
2025-11-13,API_010,Payment Management,560,0,600.9
2025-11-14,API_010,Payment Management,1133,1,637.0
2025-11-15,API_010,Payment Management,1989,1,568.3
2025-10-16,API_011,Platform,1103,1,585.8
2025-10-17,API_011,Platform,1337,1,595.4
2025-10-18,API_011,Platform,1144,1,514.0
2025-10-19,API_011,Platform,1045,1,588.5
2025-10-20,API_011,Platform,1601,1,526.9
2025-10-21,API_011,Platform,1293,1,530.4
2025-10-22,API_011,Platform,748,0,717.9
2025-10-23,API_011,Platform,1579,1,588.2
2025-10-24,API_011,Platform,849,0,577.3
2025-10-25,API_011,Platform,836,0,536.4
2025-10-26,API_011,Platform,1549,1,610.7
2025-10-27,API_011,Platform,802,0,602.1
2025-10-28,API_011,Platform,1138,1,597.9
2025-10-29,API_011,Platform,527,0,603.4
2025-10-30,API_011,Platform,577,0,698.7
2025-10-31,API_011,Platform,1025,1,585.1
2025-11-01,API_011,Platform,1198,1,651.1
2025-11-02,API_011,Platform,1418,1,540.7
2025-11-03,API_011,Platform,1249,1,578.5
2025-11-04,API_011,Platform,1538,1,654.1
2025-11-05,API_011,Platform,1715,1,554.6
2025-11-06,API_011,Platform,1213,1,514.7
2025-11-07,API_011,Platform,1562,1,536.3
2025-11-08,API_011,Platform,1997,1,560.7
2025-11-09,API_011,Platform,625,0,701.2
2025-11-10,API_011,Platform,566,0,652.9
2025-11-11,API_011,Platform,732,0,547.6
2025-11-12,API_011,Platform,610,0,599.8
2025-11-13,API_011,Platform,1993,1,691.4
2025-11-14,API_011,Platform,1892,1,632.3
2025-11-15,API_011,Platform,1247,1,576.7
2025-10-16,API_012,Entitlement,1191,1,559.9
2025-10-17,API_012,Entitlement,1805,1,515.1
2025-10-18,API_012,Entitlement,814,0,635.7
2025-10-19,API_012,Entitlement,1376,1,629.8
2025-10-20,API_012,Entitlement,1960,1,588.3
2025-10-21,API_012,Entitlement,1161,1,563.0
2025-10-22,API_012,Entitlement,1123,1,524.5
2025-10-23,API_012,Entitlement,1015,1,647.8
2025-10-24,API_012,Entitlement,1145,1,608.7
2025-10-25,API_012,Entitlement,617,0,556.6
2025-10-26,API_012,Entitlement,1446,1,568.0
2025-10-27,API_012,Entitlement,1073,1,606.0
2025-10-28,API_012,Entitlement,1915,1,645.1
2025-10-29,API_012,Entitlement,1549,1,656.0
2025-10-30,API_012,Entitlement,825,0,554.3
2025-10-31,API_012,Entitlement,1933,1,554.2
2025-11-01,API_012,Entitlement,724,0,491.7
2025-11-02,API_012,Entitlement,1031,1,572.5
2025-11-03,API_012,Entitlement,589,0,581.6
2025-11-04,API_012,Entitlement,1153,1,638.3
2025-11-05,API_012,Entitlement,638,0,500.3
2025-11-06,API_012,Entitlement,1344,1,560.9
2025-11-07,API_012,Entitlement,1189,1,602.8
2025-11-08,API_012,Entitlement,509,0,719.8
2025-11-09,API_012,Entitlement,1397,1,719.0
2025-11-10,API_012,Entitlement,512,0,565.0
2025-11-11,API_012,Entitlement,1842,1,615.7
2025-11-12,API_012,Entitlement,828,0,631.8
2025-11-13,API_012,Entitlement,1942,1,686.5
2025-11-14,API_012,Entitlement,1618,1,610.2
2025-11-15,API_012,Entitlement,1087,1,605.4
2025-10-16,API_013,Trade,1012,1,629.3
2025-10-17,API_013,Trade,1872,1,694.8
2025-10-18,API_013,Trade,1372,1,645.8
2025-10-19,API_013,Trade,1814,1,638.3
2025-10-20,API_013,Trade,1224,1,565.6
2025-10-21,API_013,Trade,577,0,559.2
2025-10-22,API_013,Trade,1933,1,583.6
2025-10-23,API_013,Trade,1565,1,636.5
2025-10-24,API_013,Trade,588,0,570.0
2025-10-25,API_013,Trade,1115,1,714.4
2025-10-26,API_013,Trade,1299,1,487.8
2025-10-27,API_013,Trade,1546,1,578.9
2025-10-28,API_013,Trade,1074,1,505.2
2025-10-29,API_013,Trade,1748,1,601.0
2025-10-30,API_013,Trade,1506,1,649.8
2025-10-31,API_013,Trade,603,0,467.3
2025-11-01,API_013,Trade,1562,1,511.3
2025-11-02,API_013,Trade,1971,1,668.6
2025-11-03,API_013,Trade,1538,1,599.2
2025-11-04,API_013,Trade,977,0,663.3
2025-11-05,API_013,Trade,1754,1,649.7
2025-11-06,API_013,Trade,1934,1,660.6
2025-11-07,API_013,Trade,1450,1,578.9
2025-11-08,API_013,Trade,1016,1,574.5
2025-11-09,API_013,Trade,1364,1,605.2
2025-11-10,API_013,Trade,1314,1,543.2
2025-11-11,API_013,Trade,727,0,735.4
2025-11-12,API_013,Trade,514,0,544.0
2025-11-13,API_013,Trade,1680,1,538.9
2025-11-14,API_013,Trade,823,0,778.6
2025-11-15,API_013,Trade,1343,1,679.8
2025-10-16,API_014,Information Management,1293,1,720.0
2025-10-17,API_014,Information Management,1806,1,536.5
2025-10-18,API_014,Information Management,1371,1,569.2
2025-10-19,API_014,Information Management,1049,1,575.6
2025-10-20,API_014,Information Management,845,0,512.9
2025-10-21,API_014,Information Management,801,0,645.7
2025-10-22,API_014,Information Management,1457,1,612.8
2025-10-23,API_014,Information Management,1733,1,587.8
2025-10-24,API_014,Information Management,1327,1,602.8
2025-10-25,API_014,Information Management,1182,1,606.6
2025-10-26,API_014,Information Management,1847,1,643.5
2025-10-27,API_014,Information Management,1656,1,613.0
2025-10-28,API_014,Information Management,1629,1,626.5
2025-10-29,API_014,Information Management,1508,1,712.9
2025-10-30,API_014,Information Management,1513,1,680.7
2025-10-31,API_014,Information Management,550,0,611.0
2025-11-01,API_014,Information Management,1278,1,606.0
2025-11-02,API_014,Information Management,1930,1,580.2
2025-11-03,API_014,Information Management,1869,1,571.8
2025-11-04,API_014,Information Management,919,0,603.3
2025-11-05,API_014,Information Management,1435,1,665.7
2025-11-06,API_014,Information Management,1160,1,683.8
2025-11-07,API_014,Information Management,701,0,558.6
2025-11-08,API_014,Information Management,1959,1,628.5
2025-11-09,API_014,Information Management,1074,1,679.1
2025-11-10,API_014,Information Management,743,0,649.4
2025-11-11,API_014,Information Management,885,0,604.4
2025-11-12,API_014,Information Management,1733,1,650.4
2025-11-13,API_014,Information Management,1139,1,597.7
2025-11-14,API_014,Information Management,1438,1,628.3
2025-11-15,API_014,Information Management,1703,1,508.2
2025-10-16,API_015,Liquidity,1209,1,556.9
2025-10-17,API_015,Liquidity,1165,1,654.4
2025-10-18,API_015,Liquidity,655,0,604.7
2025-10-19,API_015,Liquidity,1348,1,510.9
2025-10-20,API_015,Liquidity,1607,1,736.6
2025-10-21,API_015,Liquidity,841,0,502.2
2025-10-22,API_015,Liquidity,975,0,519.6
2025-10-23,API_015,Liquidity,826,0,608.9
2025-10-24,API_015,Liquidity,1664,1,518.2
2025-10-25,API_015,Liquidity,1451,1,485.3
2025-10-26,API_015,Liquidity,1222,1,573.1
2025-10-27,API_015,Liquidity,1828,1,472.6
2025-10-28,API_015,Liquidity,928,0,665.2
2025-10-29,API_015,Liquidity,1542,1,576.3
2025-10-30,API_015,Liquidity,517,0,662.4
2025-10-31,API_015,Liquidity,1509,1,540.0
2025-11-01,API_015,Liquidity,693,0,507.9
2025-11-02,API_015,Liquidity,1745,1,767.8
2025-11-03,API_015,Liquidity,1446,1,579.4
2025-11-04,API_015,Liquidity,1424,1,577.7
2025-11-05,API_015,Liquidity,554,0,591.0
2025-11-06,API_015,Liquidity,1981,1,631.7
2025-11-07,API_015,Liquidity,661,0,578.3
2025-11-08,API_015,Liquidity,1999,1,595.8
2025-11-09,API_015,Liquidity,1701,1,584.6
2025-11-10,API_015,Liquidity,812,0,661.5
2025-11-11,API_015,Liquidity,1258,1,553.8
2025-11-12,API_015,Liquidity,827,0,562.6
2025-11-13,API_015,Liquidity,1577,1,648.8
2025-11-14,API_015,Liquidity,1574,1,487.2
2025-11-15,API_015,Liquidity,1506,1,651.7
2025-10-16,API_016,Connect API,1611,1,637.4
2025-10-17,API_016,Connect API,1601,1,675.0
2025-10-18,API_016,Connect API,951,0,625.2
2025-10-19,API_016,Connect API,664,0,583.5
2025-10-20,API_016,Connect API,1322,1,536.5
2025-10-21,API_016,Connect API,1443,1,613.9
2025-10-22,API_016,Connect API,650,0,557.0
2025-10-23,API_016,Connect API,1608,1,499.8
2025-10-24,API_016,Connect API,1013,1,705.9
2025-10-25,API_016,Connect API,1314,1,510.1
2025-10-26,API_016,Connect API,1522,1,668.3
2025-10-27,API_016,Connect API,1909,1,580.2
2025-10-28,API_016,Connect API,760,0,594.2
2025-10-29,API_016,Connect API,1304,1,674.8
2025-10-30,API_016,Connect API,1749,1,469.8
2025-10-31,API_016,Connect API,1576,1,612.7
2025-11-01,API_016,Connect API,1353,1,594.2
2025-11-02,API_016,Connect API,1887,1,658.3
2025-11-03,API_016,Connect API,627,0,598.1
2025-11-04,API_016,Connect API,1235,1,578.2
2025-11-05,API_016,Connect API,1025,1,596.6
2025-11-06,API_016,Connect API,1020,1,729.3
2025-11-07,API_016,Connect API,1882,1,640.3
2025-11-08,API_016,Connect API,1724,1,610.3
2025-11-09,API_016,Connect API,503,0,589.0
2025-11-10,API_016,Connect API,1165,1,522.7
2025-11-11,API_016,Connect API,1304,1,606.0
2025-11-12,API_016,Connect API,574,0,607.2
2025-11-13,API_016,Connect API,541,0,678.7
2025-11-14,API_016,Connect API,1879,1,554.4
2025-11-15,API_016,Connect API,1676,1,599.8
2025-10-16,API_017,Payment Initiation,1497,1,571.9
2025-10-17,API_017,Payment Initiation,841,0,631.6
2025-10-18,API_017,Payment Initiation,526,0,697.2
2025-10-19,API_017,Payment Initiation,1320,1,694.2
2025-10-20,API_017,Payment Initiation,954,0,671.2
2025-10-21,API_017,Payment Initiation,1480,1,615.4
2025-10-22,API_017,Payment Initiation,1999,1,574.9
2025-10-23,API_017,Payment Initiation,629,0,687.3
2025-10-24,API_017,Payment Initiation,1519,1,608.8
2025-10-25,API_017,Payment Initiation,528,0,586.6
2025-10-26,API_017,Payment Initiation,648,0,586.5
2025-10-27,API_017,Payment Initiation,1175,1,672.5
2025-10-28,API_017,Payment Initiation,1636,1,644.9
2025-10-29,API_017,Payment Initiation,1833,1,690.1
2025-10-30,API_017,Payment Initiation,597,0,631.2
2025-10-31,API_017,Payment Initiation,905,0,592.9
2025-11-01,API_017,Payment Initiation,568,0,494.7
2025-11-02,API_017,Payment Initiation,1250,1,592.6
2025-11-03,API_017,Payment Initiation,1671,1,617.0
2025-11-04,API_017,Payment Initiation,1457,1,583.2
2025-11-05,API_017,Payment Initiation,864,0,622.5
2025-11-06,API_017,Payment Initiation,1973,1,537.1
2025-11-07,API_017,Payment Initiation,572,0,610.8
2025-11-08,API_017,Payment Initiation,1740,1,579.9
2025-11-09,API_017,Payment Initiation,560,0,562.4
2025-11-10,API_017,Payment Initiation,1562,1,708.7
2025-11-11,API_017,Payment Initiation,630,0,581.5
2025-11-12,API_017,Payment Initiation,1316,1,560.5
2025-11-13,API_017,Payment Initiation,1456,1,639.8
2025-11-14,API_017,Payment Initiation,511,0,660.6
2025-11-15,API_017,Payment Initiation,1841,1,677.1
2025-10-16,API_018,Payment Management,873,0,641.3
2025-10-17,API_018,Payment Management,1475,1,572.8
2025-10-18,API_018,Payment Management,1612,1,638.0
2025-10-19,API_018,Payment Management,1791,1,625.8
2025-10-20,API_018,Payment Management,1480,1,612.5
2025-10-21,API_018,Payment Management,1609,1,535.1
2025-10-22,API_018,Payment Management,1187,1,663.2
2025-10-23,API_018,Payment Management,1326,1,597.6
2025-10-24,API_018,Payment Management,1489,1,640.9
2025-10-25,API_018,Payment Management,871,0,572.1
2025-10-26,API_018,Payment Management,1114,1,653.2
2025-10-27,API_018,Payment Management,1796,1,523.6
2025-10-28,API_018,Payment Management,1119,1,684.8
2025-10-29,API_018,Payment Management,687,0,661.1
2025-10-30,API_018,Payment Management,1694,1,597.0
2025-10-31,API_018,Payment Management,1435,1,475.2
2025-11-01,API_018,Payment Management,538,0,523.0
2025-11-02,API_018,Payment Management,996,0,722.5
2025-11-03,API_018,Payment Management,1920,1,629.1
2025-11-04,API_018,Payment Management,1221,1,441.2
2025-11-05,API_018,Payment Management,1631,1,643.8
2025-11-06,API_018,Payment Management,1393,1,534.4
2025-11-07,API_018,Payment Management,1045,1,457.7
